Relevé de carte;;;;
Carte n° 4970 1012 3456 7890;Titulaire: A. MARTIN;;;

Date opération;Date valeur;Libellé;Débit;Crédit
02/10/2025;03/10/2025;CB AMAZON PRIME FR 02/10;69,90;
04/10/2025;05/10/2025;CB APPLE.COM/BILL 04/10;0,99;
14/10/2025;15/10/2025;CB IKEA 14/10;72,54;
15/10/2025;16/10/2025;CB DEEZER 15/10;11,99;
18/10/2025;19/10/2025;CB APPLE.COM/BILL 18/10;19,95;
20/10/2025;21/10/2025;CB AMAZON MKTPLACE 20/10;21,33;
28/10/2025;29/10/2025;CB IKEA 28/10;32,90;
04/11/2025;05/11/2025;CB APPLE.COM/BILL 04/11;0,99;
15/11/2025;16/11/2025;CB DEEZER 15/11;11,99;
18/11/2025;19/11/2025;CB APPLE.COM/BILL 18/11;19,95;
22/11/2025;23/11/2025;CB FNAC 22/11;120,02;
30/11/2025;01/12/2025;CB AMAZON MKTPLACE 30/11;14,34;
03/12/2025;04/12/2025;CB AMAZON MKTPLACE 03/12;12,48;
04/12/2025;05/12/2025;CB APPLE.COM/BILL 04/12;0,99;
07/12/2025;08/12/2025;CB FNAC 07/12;102,31;
15/12/2025;16/12/2025;CB DEEZER 15/12;11,99;
18/12/2025;19/12/2025;CB APPLE.COM/BILL 18/12;19,95;
04/01/2026;05/01/2026;CB APPLE.COM/BILL 04/01;0,99;
15/01/2026;16/01/2026;CB DEEZER 15/01;11,99;
18/01/2026;19/01/2026;CB APPLE.COM/BILL 18/01;19,95;
20/01/2026;21/01/2026;CB TOTAL ENERGIES 20/01;32,83;
22/01/2026;23/01/2026;CB PADDLE.NET* NOTION 22/01;9,50;
04/02/2026;05/02/2026;CB APPLE.COM/BILL 04/02;0,99;
15/02/2026;16/02/2026;CB DEEZER 15/02;11,99;
15/02/2026;16/02/2026;CB TOTAL ENERGIES 15/02;99,95;
15/02/2026;16/02/2026;CB AMAZON MKTPLACE 15/02;92,14;
18/02/2026;19/02/2026;CB APPLE.COM/BILL 18/02;19,95;
20/02/2026;21/02/2026;CB FNAC 20/02;63,23;
22/02/2026;23/02/2026;CB PADDLE.NET* NOTION 22/02;9,50;
04/03/2026;05/03/2026;CB APPLE.COM/BILL 04/03;0,99;
15/03/2026;16/03/2026;CB DEEZER 15/03;11,99;
18/03/2026;19/03/2026;CB APPLE.COM/BILL 18/03;19,95;
22/03/2026;23/03/2026;CB PADDLE.NET* NOTION 22/03;9,50;
04/04/2026;05/04/2026;CB APPLE.COM/BILL 04/04;0,99;
09/04/2026;10/04/2026;CB PADDLE.NET* FOCUSFLOW 09/04;4,99;
18/04/2026;19/04/2026;CB APPLE.COM/BILL 18/04;19,95;
22/04/2026;23/04/2026;CB PADDLE.NET* NOTION 22/04;9,50;
26/04/2026;27/04/2026;CB IKEA 26/04;126,84;
04/05/2026;05/05/2026;CB APPLE.COM/BILL 04/05;0,99;
09/05/2026;10/05/2026;CB PADDLE.NET* FOCUSFLOW 09/05;4,99;
18/05/2026;19/05/2026;CB APPLE.COM/BILL 18/05;19,95;
22/05/2026;23/05/2026;CB PADDLE.NET* NOTION 22/05;9,50;
29/05/2026;30/05/2026;CB FNAC 29/05;15,07;
03/06/2026;04/06/2026;CB TOTAL ENERGIES 03/06;90,57;
04/06/2026;05/06/2026;CB APPLE.COM/BILL 04/06;0,99;
06/06/2026;07/06/2026;CB TOTAL ENERGIES 06/06;28,67;
09/06/2026;10/06/2026;CB PADDLE.NET* FOCUSFLOW 09/06;4,99;
18/06/2026;19/06/2026;CB APPLE.COM/BILL 18/06;19,95;
22/06/2026;23/06/2026;CB PADDLE.NET* NOTION 22/06;9,50;
28/06/2026;29/06/2026;CB IKEA 28/06;56,72;
04/07/2026;05/07/2026;CB APPLE.COM/BILL 04/07;0,99;
09/07/2026;10/07/2026;CB PADDLE.NET* FOCUSFLOW 09/07;4,99;
18/07/2026;19/07/2026;CB APPLE.COM/BILL 18/07;19,95;
22/07/2026;23/07/2026;CB PADDLE.NET* NOTION 22/07;9,50;
24/07/2026;25/07/2026;CB IKEA 24/07;84,34;
26/07/2026;27/07/2026;CB TOTAL ENERGIES 26/07;118,83;
26/07/2026;27/07/2026;CB FNAC 26/07;97,22;
28/07/2026;29/07/2026;CB STRAVA 28/07;1,00;
02/08/2026;03/08/2026;CB AMAZON MKTPLACE 02/08;98,36;
04/08/2026;05/08/2026;CB APPLE.COM/BILL 04/08;0,99;
09/08/2026;10/08/2026;CB PADDLE.NET* FOCUSFLOW 09/08;4,99;
10/08/2026;11/08/2026;CB AMAZON MKTPLACE 10/08;18,39;
11/08/2026;12/08/2026;CB STRAVA 11/08;11,99;
18/08/2026;19/08/2026;CB APPLE.COM/BILL 18/08;19,95;
19/08/2026;20/08/2026;CB FNAC 19/08;83,31;
22/08/2026;23/08/2026;CB PADDLE.NET* NOTION 22/08;9,50;
04/09/2026;05/09/2026;CB APPLE.COM/BILL 04/09;0,99;
09/09/2026;10/09/2026;CB PADDLE.NET* FOCUSFLOW 09/09;4,99;
11/09/2026;12/09/2026;CB STRAVA 11/09;11,99;
18/09/2026;19/09/2026;CB APPLE.COM/BILL 18/09;19,95;
22/09/2026;23/09/2026;CB PADDLE.NET* NOTION 22/09;9,50;
29/09/2026;30/09/2026;CB AMAZON PRIME FR 29/09;69,90;
