"Date","Payee","Account number","Transaction type","Payment reference","Amount (EUR)","Amount (Foreign Currency)","Type Foreign Currency","Exchange Rate"
"2025-10-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2025-10-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2025-10-04","LIDL 1234","","MasterCard Payment","","-56.63","","",""
"2025-10-05","NETFLIX.COM","","MasterCard Payment","","-13.49","","",""
"2025-10-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2025-10-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2025-10-14","LIDL 1234","","MasterCard Payment","","-75.75","","",""
"2025-10-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2025-10-21","PHARMACIE CENTRALE","","MasterCard Payment","","-17.40","","",""
"2025-10-23","LIDL 1234","","MasterCard Payment","","-26.45","","",""
"2025-10-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2025-10-28","CARREFOUR CITY","","MasterCard Payment","","-37.56","","",""
"2025-11-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2025-11-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2025-11-05","NETFLIX.COM","","MasterCard Payment","","-13.49","","",""
"2025-11-07","LIDL 1234","","MasterCard Payment","","-69.05","","",""
"2025-11-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2025-11-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2025-11-14","CARREFOUR CITY","","MasterCard Payment","","-22.57","","",""
"2025-11-16","PAYPAL *","","Direct Debit","1039920017 PAYPAL","-83.99","","",""
"2025-11-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2025-11-24","LIDL 1234","","MasterCard Payment","","-82.86","","",""
"2025-11-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2025-12-01","CARREFOUR CITY","","MasterCard Payment","","-83.01","","",""
"2025-12-01","PHARMACIE CENTRALE","","MasterCard Payment","","-9.50","","",""
"2025-12-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2025-12-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2025-12-05","NETFLIX.COM","","MasterCard Payment","","-13.49","","",""
"2025-12-06","LIDL 1234","","MasterCard Payment","","-92.98","","",""
"2025-12-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2025-12-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2025-12-15","CARREFOUR CITY","","MasterCard Payment","","-41.64","","",""
"2025-12-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2025-12-23","CARREFOUR CITY","","MasterCard Payment","","-36.06","","",""
"2025-12-27","CINEMA PATHE","","MasterCard Payment","","-16.48","","",""
"2025-12-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2025-12-31","LIDL 1234","","MasterCard Payment","","-36.25","","",""
"2026-01-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-01-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-01-05","NETFLIX.COM","","MasterCard Payment","","-13.49","","",""
"2026-01-08","CARREFOUR CITY","","MasterCard Payment","","-61.34","","",""
"2026-01-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-01-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-01-16","LIDL 1234","","MasterCard Payment","","-71.57","","",""
"2026-01-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-01-26","LIDL 1234","","MasterCard Payment","","-32.86","","",""
"2026-01-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-02-01","CINEMA PATHE","","MasterCard Payment","","-10.08","","",""
"2026-02-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-02-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-02-05","NETFLIX.COM","","MasterCard Payment","","-13.49","","",""
"2026-02-05","LIDL 1234","","MasterCard Payment","","-89.26","","",""
"2026-02-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-02-10","LIDL 1234","","MasterCard Payment","","-37.77","","",""
"2026-02-14","LE PETIT BISTROT","","MasterCard Payment","","-33.84","","",""
"2026-02-15","LIDL 1234","","MasterCard Payment","","-16.10","","",""
"2026-02-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-02-20","LIDL 1234","","MasterCard Payment","","-33.75","","",""
"2026-02-25","CINEMA PATHE","","MasterCard Payment","","-22.67","","",""
"2026-02-26","LIDL 1234","","MasterCard Payment","","-74.12","","",""
"2026-02-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-03-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-03-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-03-03","UBER EATS","","MasterCard Payment","","-40.56","","",""
"2026-03-05","NETFLIX.COM","","MasterCard Payment","","-13.49","","",""
"2026-03-06","LIDL 1234","","MasterCard Payment","","-63.85","","",""
"2026-03-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-03-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-03-12","LE PETIT BISTROT","","MasterCard Payment","","-19.34","","",""
"2026-03-14","SNCF CONNECT","","MasterCard Payment","","-67.40","","",""
"2026-03-14","CARREFOUR CITY","","MasterCard Payment","","-36.09","","",""
"2026-03-19","LIDL 1234","","MasterCard Payment","","-94.04","","",""
"2026-03-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-03-25","LIDL 1234","","MasterCard Payment","","-32.17","","",""
"2026-03-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-04-01","CARREFOUR CITY","","MasterCard Payment","","-16.13","","",""
"2026-04-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-04-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-04-05","NETFLIX.COM","","MasterCard Payment","","-15.99","","",""
"2026-04-06","CARREFOUR CITY","","MasterCard Payment","","-58.51","","",""
"2026-04-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-04-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-04-16","LIDL 1234","","MasterCard Payment","","-45.14","","",""
"2026-04-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-04-23","LIDL 1234","","MasterCard Payment","","-48.08","","",""
"2026-04-28","Example Corp SAS","DE89 3704 0044 0532 0130 00","Credit Transfer","Salaire","2850.00","","",""
"2026-04-28","LIDL 1234","","MasterCard Payment","","-49.44","","",""
"2026-05-02","SCI Les Tilleuls","DE89 3704 0044 0532 0130 00","Outgoing Transfer","Loyer","-850.00","","",""
"2026-05-03","BASIC-FIT FRANCE","","Direct Debit","PRLV SEPA BF-778123","-29.99","","",""
"2026-05-03","PAYPAL *","","Direct Debit","1041188820 PAYPAL","-45.00","","",""
"2026-05-05","NETFLIX.COM","","MasterCard Payment","","-15.99","","",""
"2026-05-06","LE PETIT BISTROT","","MasterCard Payment","","-45.21","","",""
"2026-05-07","CARREFOUR CITY","","MasterCard Payment","","-69.93","","",""
"2026-05-10","PAYPAL *","","Direct Debit","1038471923 PAYPAL","-9.99","","",""
"2026-05-12","SPOTIFY","","MasterCard Payment","P2A91C7F3E","-11.12","","",""
"2026-05-15","LIDL 1234","","MasterCard Payment","","-65.55","","",""
"2026-05-19","LE PETIT BISTROT","","MasterCard Payment","","-19.35","","",""
"2026-05-20","PAYPAL *UBER","","Direct Debit","1045987736512 PAYPAL","-5.99","","",""
"2026-05-22","LIDL 1234","","MasterCard Payment","","-33.22","","",""
